Source,Target,Weight,Type
BOYER_AGAMEMNON_1680,BOYER_ARTAXERCE_1683,1,undirected
BOYER_AGAMEMNON_1680,RACINE_BERENICE_1671,1,undirected
BOYER_AGAMEMNON_1680,RACINE_IPHIGENIE_1675,4,undirected
BOYER_AGAMEMNON_1680,RACINE_PHEDRE_1697,3,undirected
BOYER_AMOURSJUPITERSEMELE_1666,BOYER_ARISTODEME_1648,4,undirected
BOYER_AMOURSJUPITERSEMELE_1666,BOYER_ARTAXERCE_1683,6,undirected
BOYER_AMOURSJUPITERSEMELE_1666,ROTROU_COSROES_1649,2,undirected
BOYER_AMOURSJUPITERSEMELE_1666,ROTROU_DOMBERNARDDECABRERE_1647,1,undirected
BOYER_ARISTODEME_1648,BOYER_AMOURSJUPITERSEMELE_1666,4,undirected
BOYER_ARISTODEME_1648,CORNEILLEP_ANDROMEDE_1651,1,undirected
BOYER_ARISTODEME_1648,ROTROU_DEUXPUCELLES_1639,4,undirected
BOYER_ARTAXERCE_1683,BOYER_AGAMEMNON_1680,1,undirected
BOYER_ARTAXERCE_1683,BOYER_AMOURSJUPITERSEMELE_1666,6,undirected
BOYER_ARTAXERCE_1683,CORNEILLEP_CID_1682,1,undirected
BOYER_ARTAXERCE_1683,CORNEILLEP_ILLUSIONCOMIQUE_1639,1,undirected
BOYER_ARTAXERCE_1683,ROTROU_COSROES_1649,4,undirected
CORNEILLEP_ANDROMEDE_1651,BOYER_ARISTODEME_1648,1,undirected
CORNEILLEP_ANDROMEDE_1651,CORNEILLEP_ILLUSIONCOMIQUE_1639,1,undirected
CORNEILLEP_ANDROMEDE_1651,RACINE_ESTHER_1689,3,undirected
CORNEILLEP_ANDROMEDE_1651,ROTROU_DOMBERNARDDECABRERE_1647,4,undirected
CORNEILLEP_ANDROMEDE_1651,SCUDERY_MORTDECESAR_1637,3,undirected
CORNEILLEP_CID_1682,BOYER_ARTAXERCE_1683,1,undirected
CORNEILLEP_CID_1682,CORNEILLEP_ILLUSIONCOMIQUE_1639,5,undirected
CORNEILLEP_CID_1682,CORNEILLEP_MEDEE_1682,6,undirected
CORNEILLEP_ILLUSIONCOMIQUE_1639,BOYER_ARTAXERCE_1683,1,undirected
CORNEILLEP_ILLUSIONCOMIQUE_1639,CORNEILLEP_ANDROMEDE_1651,1,undirected
CORNEILLEP_ILLUSIONCOMIQUE_1639,CORNEILLEP_CID_1682,5,undirected
CORNEILLEP_ILLUSIONCOMIQUE_1639,CORNEILLEP_MEDEE_1682,4,undirected
CORNEILLEP_ILLUSIONCOMIQUE_1639,DURYER_CLITOPHON_1632,1,undirected
CORNEILLEP_ILLUSIONCOMIQUE_1639,MOLIERE_AMPHITRYON_1668,1,undirected
CORNEILLEP_ILLUSIONCOMIQUE_1639,MOLIERE_DOMGARCIEDENAVARRE_1682,1,undirected
CORNEILLEP_MEDEE_1682,CORNEILLEP_CID_1682,6,undirected
CORNEILLEP_MEDEE_1682,CORNEILLEP_ILLUSIONCOMIQUE_1639,4,undirected
CORNEILLEP_MEDEE_1682,ROTROU_DEUXPUCELLES_1639,1,undirected
CORNEILLEP_MEDEE_1682,ROTROU_HERCULEMOURANT_1636,3,undirected
CORNEILLET_AMOURALAMODE_1651,CORNEILLET_ARIANE_1672,1,undirected
CORNEILLET_AMOURALAMODE_1651,CORNEILLET_BRADAMANTE_1695,1,undirected
CORNEILLET_AMOURALAMODE_1651,CORNEILLET_GEOLIERDESOISMEME_1655,6,undirected
CORNEILLET_AMOURALAMODE_1651,SCARRON_FAUSSEAPPARENCE_1663,2,undirected
CORNEILLET_AMOURALAMODE_1651,SCARRON_GARDIENDESOIMEME_1654,1,undirected
CORNEILLET_ARIANE_1672,CORNEILLET_AMOURALAMODE_1651,1,undirected
CORNEILLET_ARIANE_1672,CORNEILLET_BRADAMANTE_1695,6,undirected
CORNEILLET_ARIANE_1672,CORNEILLET_GEOLIERDESOISMEME_1655,2,undirected
CORNEILLET_BRADAMANTE_1695,CORNEILLET_AMOURALAMODE_1651,1,undirected
CORNEILLET_BRADAMANTE_1695,CORNEILLET_ARIANE_1672,6,undirected
CORNEILLET_BRADAMANTE_1695,CORNEILLET_GEOLIERDESOISMEME_1655,3,undirected
CORNEILLET_GEOLIERDESOISMEME_1655,CORNEILLET_AMOURALAMODE_1651,6,undirected
CORNEILLET_GEOLIERDESOISMEME_1655,CORNEILLET_ARIANE_1672,2,undirected
CORNEILLET_GEOLIERDESOISMEME_1655,CORNEILLET_BRADAMANTE_1695,3,undirected
CORNEILLET_GEOLIERDESOISMEME_1655,MOLIERE_DOMGARCIEDENAVARRE_1682,2,undirected
CORNEILLET_GEOLIERDESOISMEME_1655,SCARRON_GARDIENDESOIMEME_1654,2,undirected
DURYER_CLARIGENE_1639,DURYER_DYNAMIS_1653,3,undirected
DURYER_CLARIGENE_1639,DURYER_ESTHER_1644,2,undirected
DURYER_CLARIGENE_1639,SCARRON_FAUSSEAPPARENCE_1663,2,undirected
DURYER_CLARIGENE_1639,SCUDERY_PRINCEDEGUISE_1636,1,undirected
DURYER_CLITOPHON_1632,CORNEILLEP_ILLUSIONCOMIQUE_1639,1,undirected
DURYER_CLITOPHON_1632,ROTROU_DEUXPUCELLES_1639,3,undirected
DURYER_CLITOPHON_1632,ROTROU_HERCULEMOURANT_1636,1,undirected
DURYER_CLITOPHON_1632,SCUDERY_MORTDECESAR_1637,4,undirected
DURYER_CLITOPHON_1632,SCUDERY_PRINCEDEGUISE_1636,1,undirected
DURYER_CLITOPHON_1632,SCUDERY_VASSALGENEREUX_1636,2,undirected
DURYER_DYNAMIS_1653,DURYER_CLARIGENE_1639,3,undirected
DURYER_DYNAMIS_1653,DURYER_ESTHER_1644,6,undirected
DURYER_DYNAMIS_1653,SCARRON_GARDIENDESOIMEME_1654,1,undirected
DURYER_DYNAMIS_1653,SCUDERY_PRINCEDEGUISE_1636,2,undirected
DURYER_ESTHER_1644,DURYER_CLARIGENE_1639,2,undirected
DURYER_ESTHER_1644,DURYER_DYNAMIS_1653,6,undirected
DURYER_ESTHER_1644,SCUDERY_VASSALGENEREUX_1636,1,undirected
MOLIERE_AMPHITRYON_1668,CORNEILLEP_ILLUSIONCOMIQUE_1639,1,undirected
MOLIERE_AMPHITRYON_1668,MOLIERE_MISANTHROPE_1667,5,undirected
MOLIERE_AMPHITRYON_1668,MOLIERE_TARTUFFE_1669,4,undirected
MOLIERE_DOMGARCIEDENAVARRE_1682,CORNEILLEP_ILLUSIONCOMIQUE_1639,1,undirected
MOLIERE_DOMGARCIEDENAVARRE_1682,CORNEILLET_GEOLIERDESOISMEME_1655,2,undirected
MOLIERE_DOMGARCIEDENAVARRE_1682,MOLIERE_MISANTHROPE_1667,4,undirected
MOLIERE_MISANTHROPE_1667,MOLIERE_AMPHITRYON_1668,5,undirected
MOLIERE_MISANTHROPE_1667,MOLIERE_DOMGARCIEDENAVARRE_1682,4,undirected
MOLIERE_MISANTHROPE_1667,MOLIERE_TARTUFFE_1669,6,undirected
MOLIERE_TARTUFFE_1669,MOLIERE_AMPHITRYON_1668,4,undirected
MOLIERE_TARTUFFE_1669,MOLIERE_MISANTHROPE_1667,6,undirected
MOLIERE_TARTUFFE_1669,SCARRON_GARDIENDESOIMEME_1654,1,undirected
RACINE_BERENICE_1671,BOYER_AGAMEMNON_1680,1,undirected
RACINE_BERENICE_1671,RACINE_IPHIGENIE_1675,5,undirected
